utt_num,speaker,xds,utterance,manual_morpheme_count
59,FC1,A,Mom Mom Mom Mom,4
1636,FA1,C,Mommy is going to look at some books here for a second,14
14915,UC1,A,Mommy Lockhart needs a kleenex,6
359,FA1,C,Mommy took away your fun its not cool,9
14,FC1,A,Mommy xxx,2
123,FC1,A,Mommy xxx,2
14699,FA1,O,my I mean my work xxx and then xxx  you know that sort of thing,15
10217,UC1,A,no a xxx,3
7038,MC2,C,nom nom nom nom nom,5
11122,FA1,C,oh ha,2
14889,FA1,C,oh well honey I think they are I think they are gonna go with their mommy,17
15383,FA1,A,okay <cus>  because I thought it had something to do with the um,13
494,FA1,A,ol ol sl,2
9629,FA1,C,ruff ruff rah,2
12002,FA1,C,say <la la la la la la la la la> = babbles,2
1570,FA1,C,say <squirch>  referring to Zachary,6
1072,FA2,A,she started to pitch a fit and actually the other day I finally figured out why she was pitching a fit and I explained to her what was going on and she stopped,41
9875,FA1,P,shes <a>  going to eat your eyeball Bandit,9
13896,FA2,C,so it became three xxx,5
1352,FA2,A,so theres also xxx Wednesday night I think they have like a,13
16682,FA1,A,so they were we xxx like a car in a fake gas station,13
16613,FA1,A,so yeah hell do about ten steps right now,11
6626,MC1,A,the DeadManTellsNoTales,7
15446,FA1,A,torn and then like all the little things like,10
3186,UC3,C,uh,1
4233,FA1,C,uh eight oclock,4
4499,UC1,C,uh la la la,4
14208,FA1,A,uh on the thirteenth of May,7
15564,FA3,A,um we were skipping your birthday <cus>  because you dont have one,14
15470,FA1,A,we have a couple more things to pick out like the xxx,13
136,FC1,A,wee,1
1388,FA2,A,well and they dont even o,7
11786,FA1,A,well hopefully it wont be too bad,10
14692,FA1,A,well I xxx at what,5
9161,FA2,A,well if you can not be next to the bathroom wouldnt you rather not be next to the bathroom,22
11796,FA1,A,well it is nice to spend it with with family,10
14965,UC1,A,well the kitty um if you go a little bit close into her,13
15334,FA1,A,#NAME?,NA
14229,FA1,C,#NAME?,NA
15065,UC2,O,#NAME?,NA
3432,FC1,O,#NAME?,NA
2743,UC1,C,#NAME?,NA
10188,UC1,A,#NAME?,NA
15109,UC3,B,#NAME?,NA
15018,UC2,O,#NAME?,NA
11045,FA2,A,#NAME?,NA
6145,FA5,A,#NAME?,NA
8663,UC1,A,#NAME?,NA
15080,UC2,O,#NAME?,NA
15590,FA3,C,#NAME?,NA
15118,UC3,C,#NAME?,NA
14891,FA1,B,#NAME?,NA
8691,UC1,A,#NAME?,NA
111,FC1,A,#NAME?,NA
15021,UC2,O,#NAME?,NA
7461,FA1,C,#NAME?,NA
14617,FA2,A,#NAME?,NA
15068,UC2,O,#NAME?,NA
11148,FA1,C,#NAME?,NA
3303,UC3,C,#NAME?,NA
10908,MA1,C,#NAME?,NA
8882,UC1,O,#NAME?,NA
10255,UC2,C,#NAME?,NA
97,FC1,A,#NAME?,NA
11006,FA2,A,#NAME?,NA
15388,FA1,A,#NAME?,NA
16529,FA1,A,#NAME?,NA
12366,FA2,A,#NAME?,NA
10395,UC2,C,#NAME?,NA
112,FC1,A,#NAME?,NA
835,UC1,A,#NAME?,NA
8639,UC1,C,#NAME?,NA
10678,FA1,C,#NAME?,NA
15085,UC2,O,#NAME?,NA
15090,UC2,O,#NAME?,NA
10211,UC1,C,#NAME?,NA
15084,UC2,O,#NAME?,NA
15016,UC2,O,#NAME?,NA
14900,UC1,C,#NAME?,NA
10343,UC2,C,#NAME?,NA
15772,FA4,A,#NAME?,NA
2815,UC1,O,#NAME?,NA
10065,UC1,P,#NAME?,NA
8784,UC1,A,#NAME?,NA
15640,UC1,C,#NAME?,NA
15119,UC3,C,#NAME?,NA
10766,FA1,C,#NAME?,NA
14897,FA1,A,#NAME?,NA
6959,MC2,A,#NAME?,NA
11506,MA1,C,#NAME?,NA
11344,FC1,C,#NAME?,NA
14883,FA1,B,#NAME?,NA
4621,UC1,A,#NAME?,NA
15079,UC2,O,#NAME?,NA
102,FC1,C,#NAME?,NA
15456,FA1,A,#NAME?,NA
6791,MC1,C,#NAME?,NA
461,FA1,A,#NAME?,NA
14844,FA1,B,#NAME?,NA
10189,UC1,A,#NAME?,NA
15100,UC3,C,#NAME?,NA
10499,FC1,O,#NAME?,NA
12305,FA2,A,#NAME?,NA
2821,UC1,O,#NAME?,NA
7671,FA1,C,#NAME?,NA
10070,UC1,A,#NAME?,NA
14985,UC1,B,#NAME?,NA
8766,UC1,A,#NAME?,NA
15181,FA2,A,#NAME?,NA
14492,UC1,C,#NAME?,NA
15050,UC2,O,#NAME?,NA
15497,FA1,A,they sweep up the addition area every single day when theyre done working for the day they sweep every single day like,24
15394,FA1,A,and Im like I feel like Im talking to like a drunk stoner right now and hes like,23
10691,FA1,C,thats fine if you guys wanna get that set up with just water thats fine,19
14622,FA2,A,the girls have been sitting here for an hour and a half I dont get it,19
11206,FA1,A,you know I know its <kinda>  kind of weird I dont know like the same thing like um,19
699,FA1,C,the moon does come out at night time I dont know if well see it tonight,18
11198,FA1,A,now I had this idea but he was like oh we cant use it <til>  until summertime,18
6028,FA1,C,that one that one that one that one that one that one that one that one that one,18
12465,FA2,C,hey Anna can you back up from the tv a little bit honey and not do that please,18
12238,FA2,A,my grandmother usually makes these icebox cookies for their xxx and xxx then you can xxx,18
14853,FA1,A,Lockhart will sleep with like five animals in his crib and he doesnt care so,17
14113,FA1,A,hm just turn it off and then back on again and it comes back in,16
9901,FA1,C,can you sit up here with your hair real quick or you cant go,15
12357,FA2,C,she might not understand you shes a little bit younger than you are,15
281,FA2,A,well when youre looking at Sam why wouldnt you be comfortable,15
15411,FA1,A,and our birth like I actually have a real birthday this coming year,14
14961,UC1,A,shes the tallest one and shes very small in real life,14
11046,FA2,A,hes like that little baby like that little evil baby from FamilyGuy,14
12184,MA1,A,your seasoning is probably giving you I like the seasoning,14
15410,FA1,A,so our house is gonna be done like early to mid january,13
16342,FA2,C,we can have cheetos right now,13
160,MA1,A,how are you doing with xxx right before I asked that,13
12256,FA2,A,do you want me to help you with anything else bringing in,13
14376,FA1,A,to be honest Im not as worried now you know since,13
12163,MA1,C,no she cant go Mommys eating right now come on,13
10514,FC1,C,<Im going to brush my teeth with the new toothbrush> = whispers,12
9830,FA2,A,its not gonna be ever that close kind of thing,12
4959,MA1,C,when Janeys done playing with it you can get it,12
8947,UC2,A,and I hit and I bumped my head on a wall,12
9509,FA1,C,butterflies and flowers and a place for you to swing,12
10884,MA1,B,hes like I can see it Granny Ive seen it,12
11446,FC1,C,Im gonna get you Im gonna get you,12
11638,FA1,C,okay well I have to take care take care of your poop,12
14695,FA1,A,xxx look at but not so much on the weekends yeah,12
9747,MA1,A,xxx start the same minutes I thought they were at home,12
9930,FA1,A,xxx yeah Im like I dunno how it works,12
15256,FA1,C,theres no need for that alligator tearing my friend,11
5592,MA2,A,we have to put the cat outside or inside the house,11
10573,MA1,C,dont mess your hey dont mess your hair up,11
11731,FA1,A,and they they seem to do a pretty good job so,11
2084,FA1,A,so Im so glad its a kid dinner tonight,11
6078,FA1,A,I just listened to a story about a coin person,11
549,FA1,A,oh those poor parents have to fight all of them,11
11187,FA1,A,why do they call it DressBarn too I dont know,11
3934,FA1,A,xxx diagnosed xxx it would help your state of mind,11
10655,FA1,C,well no thats not really a mouse noise but,10
4081,FA1,A,her heads in a fog and she cant,10
8394,FA1,A,about how she hears and how she talks,10
11020,FA2,A,I always thought it was just an old lady store,10
15505,FA1,A,I can give you his number hes was fantastic,10
5119,MA1,C,I dont want to grab your face like this,10
15390,FA1,A,he well they both fell asleep on the way here,10
11434,FC1,A,I said I think Jasper wants his coat on,10
14103,FA1,A,if Angelines only just gone down for a nap,10
2193,FA1,A,it takes me a while to unpack when,10
2455,FA1,C,Dan did you xxx mix up all these pieces,10
11825,FA1,C,do you see that what do you see over there,10
12360,FA2,C,she might not know how to play hide and seek,10
15542,FA3,A,thats like a thats like a drunk friend,10
9651,FA1,A,no he was screaming and then took a nap,10
10945,FA2,A,xxx Rachel because thats the extra shoulder to xxx,10
11528,MA1,C,alright lets not walk into the street Jasper,9
13916,FA2,A,theres xxx farm you might as well do,9
10025,FA1,A,uh I dont remember I dont think,9
16679,FA1,A,um hes well Jenna got him saying glug,9
7076,MC2,C,youre my baby youre my baby ma,9
9299,FA1,A,the word wait is not in his vocabulary anymore,9
16157,FA2,C,what is it or is it a secret,9
6881,MC1,A,when I put my xxx for some reason xxx,9
10920,FA2,A,you think I should respect Amiras wishes,9
14214,FA1,A,shops will be closed again this weekend,9
16192,FA2,A,thats cool that had to have been fun,9
11283,FA4,A,I mean they stand behind their product really good um,9
9672,FA1,A,is it where all the little kids go,9
5844,FA1,A,its thirty dollars to just one adult,9
8038,FA1,C,right youre going straight to bed then,9
1451,FA2,A,take your laptop and watch something from Amazon Prime,9
235,FA2,C,do you wanna bring that home to read,9
13240,UC1,C,hey hey do you want to go to xxx,9
1090,FA2,A,oh guess what Tess wants to do now,9
335,FA1,C,dont know how I feel about that Tess,9
890,MA1,C,HarleyQuinn seizes the opportunity for a sneak attack,9
7770,FA1,C,I dont even know when thats from,9
3829,FA1,A,I just wanna know maybe going forward,9
13817,MA2,A,if you get xxx use it dont you,9
8543,FA1,C,Im lookin go to the bathroom Abby,9
14081,FA1,C,were nice to our family arent we,9
11836,FA1,C,were not going down there right now,9
3680,FC1,A,yeah I dont know where well put Megan,9
12058,MA1,A,xxx its not really what we do,9
4971,MA1,C,Daddys gotta get through here please,8
11042,FA2,A,he really did only have one ball,8
11804,FA1,A,yeah I kind of feel like that too,8
14140,FA1,A,yeah Ive just turned it down,8
13396,MA1,C,you going to hold Daddys hand,8
9573,FA1,C,you loved play time so much baby,8
6964,MC2,A,and Ill never go to the library,8
1817,FA1,C,Courtney if you wanna play with that,8
6854,MC1,C,I could cut Janeys mouth off xxx,8
15159,FA2,A,I think theyre moving into hi,8
8820,UC1,A,Im gonna try to surprise him,8
11517,MA1,A,is it I think its a cigar,8
6850,MC1,C,well I could cut Janeys teeth off,8
9614,FA1,C,<happy and you know it stomp your feet> = sings,8
107,FC1,A,Daddys waiting for us at home,8
2235,FA1,C,Danny theres two other chairs xxx,8
6358,FA5,C,do you want your last bite of spaghetti,8
9866,FA2,C,do you watch her when she sleeps,8
11073,FA1,A,oh he just she just likes the,8
15445,FA1,A,oh it ended up getting like,8
8970,UC2,C,oh my gosh Bubby you did too much,8
13990,FA1,C,oh put the top here this black one,8
8224,FA1,C,okay Ill just put this near you,8
10548,FC1,A,they we glowed them in the dark,8
10868,MA1,A,whats her uh whats her motto,8
2458,FA1,C,xxx the pieces are mixed up,8
7209,MA2,C,xxx theyre looking for worms xxx =laughs,8
7417,FA1,C,<cos>  because thats where you buy food from,8
7390,FA1,C,had its leaves taken off,8
10493,FC1,O,<Im gonna make the snow fall down> = sings,8
12187,MA1,A,I think we we did a winner there,8
8000,FA1,A,I told him he could have his xxx,8
11835,FA1,C,no were not going down there,8
363,FA1,C,no you cant eat the wipes,8
14742,FA1,C,no you dont have to go up,8
4278,FA1,C,what are you even talking about goofy,8
16958,FA1,A,yeah I have not had any luck on stairs I dont know if anybody else has tried but,8
7743,FA1,C,<prolly>  probably wouldnt lean on the xxx,8
9688,FA1,C,whats behi buzzing in the garden,8
14860,FA1,B,yeah not its not a sure thing =laughs,8
8534,FA1,C,a good guess would be five thirty,7
774,FA3,A,the the school birthday party on her birthday,7
7032,MC2,C,we need to put these back in,7
14277,FA1,C,theres lots in the car,7
9740,MA1,C,youre the only one who xxx,7
11574,FA2,A,turkkey came out so good this year,7
6249,FA5,A,half dime its a half dime,7
42,FC1,C,hes looking at you guys,7
10682,FA1,C,the duck waddles to and fro,7
14515,MA3,A,then yes shes looking xxx,7
9834,FA2,A,theres Mindy and Miranda and Miranda,7
9327,FA1,C,whats climbing up the web,7
11144,FA1,A,yeah you wanna go to Daddy,7
3880,FA1,A,you know I love you enough that,7
585,FA1,C,you remember the snowman book you read,7
15420,FA1,C,youll have a newborn by then,7
12616,FA1,A,and those probably can do the whole,7
8513,FA1,C,are you gonna have a nap,7
9829,FA2,A,at the same time its just,7
7056,MC2,A,can I please sleep in your xxx,7
14934,UC1,A,can you show me a different xxx,7
11340,FC1,A,I can not blow this house down,7
8227,FA1,C,I dont like it on you,7
9155,FA2,A,its closer to the office,7
10563,FC1,B,we already know it,7
14034,FA1,C,what color are these big flowers,7
9443,FA1,C,what is buzzing in the garden,7
7411,FA1,C,lets get in the car there,7
5910,FA1,C,why are you in trouble right now,7
14039,FA1,C,do you remember Sam from the university,7
9657,FA1,A,oh one of Moms golf balls,7
11591,FA2,A,so you staying home for Christmas,7
663,FA1,C,sweetheart its okay come on up,7
12686,FA1,A,that might be just be the problem,7
5253,MA1,C,theyre kinda complicated if,7
9758,MA1,C,yeah Bandit dont hit me though,7
12259,FA2,P,<cmere>  come here dog <cmere>  come here come potty,7
9585,FA1,C,good night little one sweet dreams,7
230,FA2,A,so the humbug witch the humbug rabbit,7
17047,FA1,C,what game do you wanna play,7
7296,FA1,C,what would you like me to write,7
702,FA1,C,<huh> = gasps we just passed it again,7
8695,UC1,A,I dont want to take that,7
668,FA1,C,I know Bubba I know come on,7
4392,FA1,C,it really focuses right in,7
14866,FA1,C,no she doesnt need to know =laughs,7
14337,FA1,C,no shes a bit heavy no,7
8299,UC1,A,what are these ones doing,7
9899,FA1,C,xxx sit up please come right here,7
16385,FA2,C,and I dont want them,6
14693,FA1,A,I definitely look at <yeah> = laughs,6
4427,FA1,C,what are you gonna bake,6
16065,FA2,C,Whitmans walking to us,6
619,FA1,C,this ones called Cockadoodledoocreakpoppopmoo,6
1903,FA1,A,you didnt have a cover,6
4887,MA1,C,youre reading the book,6
10566,MA1,C,Autumn let Mom brush your hair,6
2507,FA1,C,aw wheres my big hug,6
10367,UC2,C,oh no dont eat me,6
8068,FA1,C,where do you want to know,6
617,FA1,C,you dont like teddybears,6
8846,UC1,C,you put her in her bed,6
14895,FA1,B,and Matt went everything went well,6
6223,FA5,A,but somebody had no clue about,6
1045,FA2,A,but with other consequences and,6
3813,FA1,C,I dont have any pizza,6
1862,FA1,C,shes a tough nugget huh,6
11556,MA1,A,sometimes he slams his head,6
8041,FA1,C,want to go straight to bed,6
4844,MC2,A,we have to comb our hair,6
5580,MA1,C,we need to be leaving,6
11555,MA1,C,what do you do that for,6
11934,FA1,A,and then west and thats,6
3007,UC2,C,and when Mom xxx your mom,6
8479,FA1,C,I wanna show you something,6
6313,FA5,C,Ill put it right there,6
11440,FC1,C,Im gonna get you,6
11441,FC1,C,Im gonna get you,6
15788,FA5,A,Im on the wrong xxx,6
4866,MA1,A,it looks like your xxx,6
4200,FA1,C,Megan wants to come play,6
14988,UC1,C,sit on Lexie not on me,6
1346,FA2,A,swimming at like the yl,6
11651,FA1,C,wheres baby Jaspers nose,6
4884,MA1,C,did you take something from her,6
14460,FA3,A,oh youve still got it,6
4620,UC1,A,right here I need my baba,6
2439,FA1,C,theyre all mixed up,6
12701,FA1,A,<cuz>  because Ill need it for,6
5514,MA1,C,<cuz>  because the cars back here,6
8337,MA1,C,<do as Im doing> = sings,6
10060,FA1,A,she doesnt walk to <school cuz> = laughs =laughs,6
11277,FA3,A,those ones xxx over there,6
10956,FA2,A,what does this even mean xxx,6
3816,FA1,C,what does your hair smell like,6
13922,FA2,C,xxx like you hadnt slow,6
5682,FA2,C,xxx one of my favorites,6
4672,MC1,C,<Im sorry Im crazy> = sings,6
10892,MA1,C,Im <gon getchu>  gonna get you,6
37,FC1,A,why do we have to w,6
11522,MA1,C,xxx the car xxx that one,6
12580,FA1,C,can I take it back,5
8463,FA1,C,hows it going,5
5795,FA1,A,I think it was a xxx,5
15858,MA1,C,its a good jam,5
14922,UC1,A,no he likes purple,5
13261,UC1,C,open open the gates,5
7734,FA1,C,pull that leg out again,5
11834,FA1,A,put the stuff on xxx,5
9843,FA2,C,what are you doing,5
14542,MA3,A,xxx Play Station threes and,5
6720,MC1,A,hes a really small,5
7372,FA1,C,yeah Ive got better,5
15558,FA3,A,you can just wear those,5
7988,FA1,C,you could be the pumpkin,5
15486,FA1,A,you couldnt even tell,5
8448,FA1,C,youre a sweetie pie,5
11278,FA3,A,for a mens shirt,5
10951,FA2,A,no no I just xxx,5
14026,FA1,A,thank you very much,5
6081,FA1,A,they have a special name,5
545,FA1,A,he always has breaks,5
6773,MC1,A,I need to get out,5
13406,MA1,C,is it deadly heavy,5
16162,FA2,A,my brother and I were,5
177,MA2,C,no dont xxx,5
9566,FA1,C,the duck and the baby,5
14520,MA3,A,to put it into that,5
10472,FC1,A,what is this a river,5
11654,FA1,C,wheres your baby nose,5
12133,MA1,C,why did you do that,5
5808,FA1,A,xxx in the pig pen,5
15239,FA2,A,yeah that would be great,5
11743,FA1,A,yeah the nice thing about,5
11067,FA1,A,you know what I think,5
11896,FA1,C,almost done Jasper almost done,5
10291,UC2,A,and I dove into it,5
10905,MA1,A,and we just let her,5
13866,FA2,A,and we were painting,5
10207,UC1,A,Aunt Sunny look at us,5
19,FC1,A,can I do it xxx,5
8018,FA1,C,can I walk your way,5
13712,MA1,C,can we draw on Lilly,5
10561,FC1,C,can you draw right here,5
9314,FA1,C,cute crawling caterpillars,5
8590,FA1,C,Emmie do you wanna,5
7121,MC2,A,get out of the time out,5
2908,UC2,C,I dont like xxx,5
5143,MA1,C,I dont think so,5
9038,UC2,C,let me have the xxx,5
4413,FA1,C,look at the pretty baby,5
8083,FA1,C,lots of lemurs there,5
1478,FA2,C,no garlic bread for you,5
12556,FA1,C,were not leaving,5
3151,UC2,A,how do you do it,5
9493,FA1,C,how many will you eat,5
9800,FA2,C,huh what she <doin>  doing,5
541,FA1,A,I know thats true,5
8652,UC1,C,I saw eight legs,5
16466,FA2,A,is this phone still on,5
4398,FA1,C,it makes you work,5
2418,FA1,C,take your socks off,5
8554,FA1,C,thats a great question,5
3127,UC2,A,whered you put it,5
12363,FA2,C,because she just might not,5
13876,FA2,C,Daddys downstairs at work,5
1460,FA2,A,did it have anything sp,5
1558,FA1,C,did you get the mail,5
16604,FA1,C,oh lets go say hi,5
10970,FA2,A,or is this like a,5
10370,UC2,A,shes tries to,5
770,FA3,A,some nineteen twenty twenty one,5
4668,MC1,C,xxx Im singing xxx,5
15751,FA4,A,xxx this is all xxx,5
4182,FA1,C,xxx you may have it,5
15329,FA1,A,<ge> = laughs get a bottle of crown =laughs,5
15578,FA3,A,xxx okay so other way,5
10830,FA1,A,your mamas probably,5
8972,UC2,A,Ill wash myself,5
5223,MA1,C,whatever one which one,5
9474,FA1,C,xxx take him with you,5
15318,FA1,A,whatever time it is,5
16071,FA2,C,y oo you found us,5
381,FA1,C,all done go xxx,4
10679,FA1,C,alright what is this,4
483,FA1,C,and a puzzle baby,4
557,FA1,A,and they were awesome,4
10522,FC1,A,Autumn just hit me,4
15600,FA3,A,didnt even like,4
5679,MA2,A,George outside on that,4
10016,FA1,A,hows your friend,4
11324,FC1,A,its not three,4
10068,UC1,P,no poop on him,4
15557,FA3,A,oh end of February,4
13237,UC1,A,what are doing,4
11358,FC1,A,what does that spell,4
7281,FA1,C,whats the matter,4
11724,FA1,C,wheres the baby,4
4869,MA1,A,who is that xxx,4
8149,FA1,C,yep you choose one,4
15134,MA2,A,yep youre welcome,4
15546,FA3,C,you nailed it,4
5019,MA1,C,you want some soap,4
560,FA1,A,then I got really,4
15319,FA1,A,yeah I think so,4
4568,UC1,C,you didnt xxx,4
15258,FA1,C,youre coming,4
1349,FA2,A,for like open swim,4
16988,FA1,A,no I think no,4
14880,FA1,A,no not like that,4
11877,FA1,C,not dont fall,4
5307,MA1,A,thank you so much,4
9772,MA1,A,they never got practice,4
595,FA1,C,this is all about,4
9057,UC2,O,and ye shall find,4
3113,UC2,A,Batman will save them,4
16634,FA1,A,he doesnt mind,4
11374,FC1,A,hes a very funny,4
304,FA2,A,hes really heavy,4
173,MA2,A,Ill grab him,4
9814,FA2,A,my brother has a,4
9200,FA2,C,no baby,4
8248,FA1,C,oh its bright,4
1457,FA2,A,oh we teach xxx,4
5692,FA2,C,okay alright come on,4
10110,UC1,A,thats not fair,4
11657,FA1,C,thats your ear,4
10922,FA2,A,the blue one right,4
10992,FA2,A,the thing fell over,4
8475,FA1,C,too much sesame oil,4
13565,MA1,C,what you need darling,4
7068,MC2,A,where did it go,4
13734,MA1,C,whered Lilly go,4
3356,UC3,C,why are we go,4
10377,UC2,C,you have to touch,4
1315,FA2,A,you may be right,4
513,FA1,A,you mean oh thanks,4
6473,FA5,C,you want this roll,4
9069,UC2,A,and it shall be,4
13973,FA2,C,and kisskiss to grandpa,4
2480,FA1,C,are you my sweetheart,4
2066,FA1,C,are you singing,4
11238,FA1,C,are you tired again,4
8372,FA2,A,at that xxx there,4
13993,FA1,C,can you do it,4
12944,FA1,C,can you slide down,4
5508,MA1,C,get your shoe on,4
11939,FA1,A,I dont know,4
15174,FA2,A,its a lot,4
14570,MA3,P,its okay Rob,4
383,FA1,C,no thank you bud,4
8533,FA1,C,so it would be,4
15365,FA1,A,thats awesome sauce,4
10733,FA1,C,what color is that,4
9399,FA1,C,what else is there,4
8312,UC1,A,what is that xxx,4
9430,FA1,C,what will baby find,4
3886,FA1,A,I love you enough,4
13749,MA1,C,I love you sweetie,4
7013,MC2,A,I want xxx Dad,4
11691,FA1,C,is there a dog,4
6388,FA5,C,it should be okay,4
9534,FA1,C,that one jingles,4
15756,FA4,A,thatd be nice,4
7704,FA1,C,Daddys noisy,4
9550,FA1,C,do you know it,4
180,MA2,A,do you need anything,4
9519,FA1,C,do you throw it,4
7716,FA1,C,does Daddy sing,4
357,FA1,C,oh I know,4
274,FA2,A,oh I know,4
10816,FA1,C,oh look at this,4
8796,UC1,C,squishy squishy,4
9341,FA1,C,teeny tiny ants,4
9958,FA1,C,xxx no cheating,4
5735,FA1,A,xxx put the xxx,4
10494,FC1,O,<<cuz>  because the snow is> = sings,4
9786,MA1,A,have you heard,4
2950,UC2,C,xxx being mean,4
8587,FA1,C,<follow follow me> = sings,3
8923,UC2,C,ah no no,3
10864,MA1,C,how are you,3
14383,FA1,C,is you hurt,3
14580,FA2,C,off of that,3
6902,MC1,A,opening this,3
2510,UC1,A,reading mail,3
465,FA1,C,remember this one,3
2386,FA1,C,scooch closer,3
13108,FA1,A,seasonings,3
15229,FA2,A,she doesnt,3
1606,FA1,C,thank you Danny,3
10606,FA1,C,what is it,3
4998,MA1,C,whats that,3
10823,FA1,C,who is that,3
14094,FA1,C,whos that,3
6018,FA1,C,whos that,3
15360,FA1,C,xxx in trouble,3
2905,UC2,A,yes I do,3
9449,FA1,C,hello ants,3
6470,FA5,C,here doggyc doggyc,3
1012,MA1,C,here here buddy,3
587,FA1,C,them at night,3
4281,FA1,C,there was three,3
11632,FA1,C,there we go,3
11696,FA1,C,there we go,3
261,FA2,C,this xxx spider,3
8635,FA3,A,yeah I know,3
9746,MA1,A,yeah I know,3
6138,FA4,A,youre welcome,3
14143,FA1,A,doesnt mention,3
11692,FA1,C,dog in there,3
15407,FA1,A,donny can help,3
9231,FA2,C,dont I,3
14746,FA1,C,Elmo loves red,3
6004,FA1,A,no Ohio State,3
15608,FA3,A,they actually care,3
9845,FA2,A,they are crazy,3
4779,FC2,A,this is xxx,3
6675,MC1,B,this is xxx,3
14778,FA1,C,two and seven,3
8383,FA2,A,very interesting,3
16748,FA1,C,bang bang bang,3
6069,FA1,A,half a million,3
4185,FA1,C,okay girls,3
10790,FA1,C,thats pie,3
15610,FA3,A,were you just,3
9405,FA1,C,whats this,3
13153,FA1,A,xxx really child,3
11876,FA1,C,you know what,3
8370,FA2,A,you want xxx,3
6981,MC2,C,a drummer,3
184,FA2,A,a little cold,3
8675,UC1,A,ah look xxx,3
14669,FA1,C,belly button beach,3
451,FA1,C,dont we,3
1642,FA1,C,get your coat,3
15618,UC1,A,I already did,3
16294,FA2,A,its not,3
7287,FA1,C,its okay,3
672,FA1,C,its okay,3
15750,FA4,A,like dog xxx,3
9305,FA1,A,listen to you,3
10163,UC1,A,look at monkey,3
8015,FA1,C,oh my goodness,3
14003,FA1,A,something bit me,3
13437,MA1,A,sometimes fail xxx,3
10350,UC2,A,well she won,3
10027,FA1,A,honestly yeah,3
15452,FA1,A,I know right,3
15661,UC1,A,I like you,3
5538,MA1,C,sit down please,3
693,FA1,C,take the detour,3
