paragraph_id,sentence_id,sentence,token_id,token,lemma,head_token_id,dep_rel,deps,misc,manual_temporality
499,1,yeah those are your toys,3,are,be,5,cop,NA,NA,present
20,1,are you so big,1,are,be,4,cop,NA,NA,present
1091,1,are you taking your socks off again,1,are,be,3,aux,NA,NA,present
1143,1,are you smiling at Miles,1,are,be,3,aux,NA,NA,present
293,1,those are your toes xxx,2,are,be,4,cop,NA,NA,present
153,1,you are really silly monkeys today,2,are,be,5,cop,NA,NA,present
163,1,are you thirsty,1,are,be,3,cop,NA,NA,present
337,1,pants are too small now,2,are,be,4,cop,NA,NA,present
280,1,are you getting sleepy,1,are,be,3,aux,NA,NA,present
377,1,what is that,2,is,be,0,root,NA,NA,present
233,1,what is that,2,is,be,0,root,NA,NA,present
49,1,Max is trying to fool us all isnt he Dad,2,is,be,3,aux,NA,NA,present
164,1,my uncle Bill is like loves to tell stories,4,is,be,0,root,NA,NA,present
1,1,xxx is out there,2,is,be,4,cop,NA,NA,present
682,1,what is it,2,is,be,1,cop,NA,NA,present
833,1,what is she doing,2,is,be,4,aux,NA,NA,present
1163,1,what is that xxx,2,is,be,0,root,NA,NA,present
1137,1,is that,1,is,be,0,root,NA,NA,present
342,1,and what shape is it,4,is,be,0,root,NA,NA,present
708,1,mm over there is ours,4,is,be,0,root,NA,NA,present
491,1,wow Venus is the hottest planet in the solar system,3,is,be,6,cop,NA,NA,present
1547,1,that is still pretty hot,2,is,be,5,cop,NA,NA,present
370,1,who is that baby,2,is,be,0,root,NA,NA,present
700,1,xxx is it <playin> playing,2,is,be,5,aux,NA,NA,present
225,1,is it I think its a cigar,1,is,be,2,cop,NA,NA,present
716,1,is the jab giant jumparee scary,1,is,be,6,cop,NA,NA,present
2219,1,what is it,2,is,be,1,cop,NA,NA,present
369,1,what is that,2,is,be,0,root,NA,NA,present
696,1,where is it,2,is,be,1,cop,NA,NA,present
26,1,is she texting me,1,is,be,3,aux,NA,NA,present
1051,1,is there something down there,1,is,be,0,root,NA,NA,present
279,1,what else is there,3,is,be,0,root,NA,NA,present
359,1,what shape is that,3,is,be,0,root,NA,NA,present
538,1,is she,1,is,be,0,root,NA,NA,present
957,1,is pretty well nasty xxx,1,is,be,5,cop,NA,NA,present
544,1,my husbands birthday is February twentieth,4,is,be,6,cop,NA,NA,present
444,1,xxx is all you,2,is,be,4,cop,NA,NA,present
489,1,aw is some water getting in your eyes love,2,is,be,4,cop,NA,NA,present
237,1,the frosting is spread,3,is,be,4,aux:pass,NA,NA,present
655,1,this is Otto,2,is,be,3,cop,NA,NA,present
1358,1,is his diaper dirty or clean,1,is,be,3,cop,NA,NA,present
1,1,what is that your new desk,2,is,be,0,root,NA,NA,present
25,1,this is my favorite song she sings,2,is,be,5,cop,NA,NA,present
695,1,one of the sea lions is named Rona,6,is,be,7,aux:pass,NA,NA,present
451,1,is that a burp hiccup,1,is,be,0,root,NA,NA,present
179,1,the word wait is not in his vocabulary anymore,4,is,be,8,cop,NA,NA,present
178,1,Oscar is green,2,is,be,3,cop,NA,NA,present
510,1,she is looking around,2,is,be,3,aux,NA,NA,present
1242,1,hey Im family,3,m,be,4,cop,NA,NA,present
509,1,Im making xxx,2,m,be,3,aux,NA,NA,present
1618,1,Im a warrior Mama,2,m,be,5,cop,NA,NA,present
1295,2,Im singing xxx,2,m,be,3,aux,NA,NA,present
1621,1,Im a warrior,2,m,be,4,cop,NA,NA,present
1312,2,Im ready for bed now,2,m,be,3,cop,NA,NA,present
523,1,Im just thinking she grew up in an xxx house,2,m,be,4,aux,NA,NA,present
525,1,and Im probably more tired than you are today,3,m,be,6,cop,NA,NA,present
171,2,Im no expert but,2,m,be,4,cop,NA,NA,present
149,1,hey whats the problem,3,s,be,2,cop,NA,NA,present
482,1,well thats good,3,s,be,4,cop,NA,NA,present
1432,1,thats a five dollar bill,2,s,be,6,cop,NA,NA,present
418,1,like its definitely not cool enough yet to where you can you just have your doors open,3,s,be,6,cop,NA,NA,present
424,1,my its getting late,3,s,be,4,aux,NA,NA,present
78,1,thats a book,2,s,be,4,cop,NA,NA,present
306,1,oh its easy,3,s,be,4,cop,NA,NA,present
244,1,no its my turn now,3,s,be,5,cop,NA,NA,present
457,1,were doing it all by ourself,1,were,be,2,aux,NA,NA,present
274,1,were ready,1,were,be,2,cop,NA,NA,present
878,2,isnt it,1,is,be,3,cop,NA,SpaceAfter=No,uncategorized
1128,1,I bet they have xxx to go with it,2,bet,bet,0,root,NA,NA,displaced
484,1,bib off,1,bib,bib,0,root,NA,NA,uncategorized
81,1,he bitedc his self,2,bitedc,bitedc,0,root,NA,NA,displaced
257,1,he blows out the candle with a <pff> = makesblowingnoise of air,2,blows,blow,0,root,NA,NA,present
100,1,it bounced off her head and she went <eh> = imitates,2,bounced,bounce,0,root,NA,NA,displaced
96,1,<down the bough breaks the cradle will drop> =sings,5,breaks,break,0,root,NA,NA,displaced
372,1,but I bring up the dryer xxx,3,bring,bring,0,root,NA,NA,present
96,1,alright bring your water I mean your coat,2,bring,bring,0,root,NA,NA,uncategorized
1900,1,Jack I brought up your three tl clothes,3,brought,brotch,1,parataxis,NA,NA,displaced
503,1,theres also a really great carrier called an ergo el rl gl ol,7,called,call,0,root,NA,NA,present
1172,1,no he just calls it,4,calls,call,0,root,NA,NA,present
204,1,he calls,2,calls,call,0,root,NA,SpacesAfter=\n,present
1760,1,can I have some coffee,1,can,can,3,aux,NA,NA,displaced
368,1,can you draw a star,1,can,can,3,aux,NA,NA,displaced
444,1,can you remember discovering your favorite foods,1,can,can,3,aux,NA,NA,displaced
978,1,can I read it,1,can,can,3,aux,NA,NA,displaced
1074,1,can I have a kiss,1,can,can,3,aux,NA,NA,displaced
37,1,hes like I can see it Granny Ive seen it,4,can,can,5,aux,NA,NA,displaced
4,1,xxx you can go down,3,can,can,4,aux,NA,NA,displaced
73,1,so we can do it,3,can,can,4,aux,NA,NA,displaced
241,1,well at least you can go in late tomorrow,5,can,can,6,aux,NA,NA,displaced
333,1,Mommy can you fall down,2,can,can,4,aux,NA,NA,displaced
1236,1,can you tell me,1,can,can,3,aux,NA,NA,displaced
80,1,we can get some blocks out,2,can,can,3,aux,NA,NA,displaced
988,1,can you say it,1,can,can,3,aux,NA,NA,displaced
279,1,donny can help,2,can,can,3,aux,NA,NA,displaced
791,1,you can sell everything,2,can,can,3,aux,NA,NA,displaced
827,1,I can do two trees xxx,2,can,can,3,aux,NA,NA,displaced
404,1,can I keep them on the shelves as I fall asleep,1,can,can,3,aux,NA,NA,displaced
292,1,<well everyday you can> = sings,6,can,can,4,acl:relcl,NA,SpaceAfter=No,present
547,1,can you can you close the j g door honey,1,can,can,5,aux,NA,NA,present
744,1,ah can you give Nanny Netty a kiss,2,can,can,4,aux,NA,NA,present
1567,1,can you say bye bye,1,can,can,3,aux,NA,NA,present
404,1,can you kick the ball,1,can,can,3,aux,NA,NA,present
1623,1,girl can I borrow that,2,can,can,4,aux,NA,NA,present
400,1,you can choose one,2,can,can,3,aux,NA,NA,present
1018,1,as you can see,3,can,can,4,aux,NA,NA,present
199,1,I can hear though xxx,2,can,can,3,aux,NA,NA,present
345,1,so we can bounce bounce bounce,3,can,can,4,aux,NA,NA,present
259,1,the turtle can hide in its shell,3,can,can,4,aux,NA,NA,present
407,1,can Daddy have a kiss my love,1,can,can,3,aux,NA,NA,present
557,1,um can we,2,can,can,3,aux,NA,NA,present
464,1,can you see the moon,1,can,can,3,aux,NA,NA,present
586,1,we can try,2,can,can,3,aux,NA,NA,present
294,1,xxx can be xxx,2,can,can,4,aux,NA,NA,uncategorized
628,1,trash can,2,can,can,0,root,NA,SpacesAfter=\n,uncategorized
586,1,can you just please just lay still for a second,1,can,can,6,aux,NA,NA,
1087,1,if I cant xxx and that on the hanger,3,cant,cant,0,root,NA,NA,displaced
167,1,we cant because xxx,2,cant,cant,0,root,NA,NA,displaced
1173,1,we cant do Sunday mornings,2,cant,cant,0,root,NA,NA,displaced
1095,1,<they cant quite see it there> = whispers ready,3,cant,cant,0,root,NA,NA,present
818,1,you cant touch,2,cant,cant,0,root,NA,NA,present
1292,1,I cant sit xxx,2,cant,cant,0,root,NA,NA,present
172,1,of him catching the fish,3,catching,catch,2,acl,NA,NA,present
450,1,cause because the maximum speeds just xxx,1,cause,cause,0,root,NA,SpacesAfter=\s\s,uncategorized
101,1,lets change that bottom,2,change,change,0,root,NA,NA,displaced
52,1,<and RockyRaccoon checked into his room> = sings,4,checked,check,0,root,NA,NA,displaced
87,1,they claimed him as the father,2,claimed,claim,0,root,NA,NA,displaced
384,1,its time for you to close your eyes,6,close,close,2,acl,NA,NA,present
262,1,because its closest to here,3,closest,closest,0,root,NA,NA,present
1809,1,and then he comes back in and goes xxx,4,comes,come,0,root,NA,NA,displaced
335,1,you coming to xxx,2,coming,come,0,root,NA,NA,displaced
209,1,too soon to come in,4,come,come,2,advcl,NA,NA,displaced
976,2,come on time to go,1,come,come,0,root,NA,NA,displaced
1879,1,come on in,1,come,come,0,root,NA,NA,present
784,1,and come forward,2,come,come,0,root,NA,NA,uncategorized
70,1,come here,1,come,come,0,root,NA,NA,uncategorized
661,1,come on put your,1,come,come,0,root,NA,NA,uncategorized
854,2,come here,1,come,come,0,root,NA,NA,uncategorized
632,1,okay come on out to the car,2,come,come,0,root,NA,NA,uncategorized
4,1,come back,1,come,come,0,root,NA,NA,uncategorized
624,1,no come on,2,come,come,0,root,NA,NA,uncategorized
265,1,come on xxx,1,come,come,0,root,NA,NA,uncategorized
45,1,come on,1,come,come,0,root,NA,NA,uncategorized
193,1,come on,1,come,come,0,root,NA,NA,uncategorized
2024,1,come out,1,come,come,0,root,NA,NA,uncategorized
207,1,come on Max,1,come,come,0,root,NA,NA,uncategorized
285,1,come here,1,come,come,0,root,NA,NA,uncategorized
562,1,come in and get it,1,come,come,0,root,NA,NA,uncategorized
616,1,how come,2,come,come,0,root,NA,SpacesAfter=\n,uncategorized
70,1,compared to like a baby thats hearing impaired,1,compared,compare,5,case,NA,NA,uncategorized
199,1,xxx how we controlled it,4,controlled,control,0,root,NA,NA,displaced
443,1,we couldnt wait to feed you your first solid food baby,2,could,could,4,aux,NA,SpaceAfter=No,displaced
1192,1,we could shred some carrots in there too for extra veggies,2,could,could,3,aux,NA,NA,displaced
1176,1,we could put his paciec there because he knows what that is,2,could,could,3,aux,NA,NA,displaced
2305,1,and UncleRobert could take me camp,3,could,could,4,aux,NA,NA,displaced
1047,1,you could tell he mos he um,2,could,could,3,aux,NA,NA,displaced
1955,1,Jack could you be hey hey hey,2,could,could,4,aux,NA,NA,displaced
2110,1,#NAME?,2,cries,cry,0,root,NA,SpacesAfter=\n,uncategorized
1935,1,#NAME?,2,cries,cry,0,root,NA,SpacesAfter=\n,uncategorized
458,1,#NAME?,2,cries,cry,0,root,NA,SpacesAfter=\n,uncategorized
446,1,#NAME?,2,cries,cry,0,root,NA,SpacesAfter=\n,uncategorized
502,1,#NAME?,2,cries,cry,0,root,NA,SpacesAfter=\n,uncategorized
2111,1,#NAME?,2,cries,cry,0,root,NA,SpacesAfter=\n,uncategorized
469,1,#NAME?,2,cries,cry,0,root,NA,SpacesAfter=\n,uncategorized
467,1,#NAME?,2,cries,cry,0,root,NA,SpacesAfter=\n,uncategorized
2102,1,<uh huh> = cries,6,cries,cry,0,root,NA,SpacesAfter=\n,uncategorized
2103,1, =cries,2,cries,cry,0,root,NA,SpacesAfter=\n,uncategorized
409,2,#NAME?,2,crying,cry,0,root,NA,SpacesAfter=\n,uncategorized
2243,1,cut Janey,1,cut,cut,0,root,NA,NA,uncategorized
288,1,well maybe it depends,4,depends,depend,0,root,NA,SpacesAfter=\n,present
125,1,designing planning to do something some fixing or something,1,designing,design,0,root,NA,NA,displaced
1402,1,half dime its a half dime,2,dime,dime,0,root,NA,NA,present
1269,1,you didnt see her at school,2,did,do,4,aux,NA,SpaceAfter=No,displaced
95,1,did he love them,1,did,do,3,aux,NA,NA,displaced
520,1,I didnt bring her a surprise,2,did,do,4,aux,NA,SpaceAfter=No,displaced
522,1,maybe h her didnt have anything,4,did,do,6,aux,NA,SpaceAfter=No,displaced
252,1,yeah but Amelia didnt help xxx,4,did,do,6,aux,NA,SpaceAfter=No,displaced
24,1,he didnt really say much,2,did,do,5,aux,NA,SpaceAfter=No,displaced
603,1,did you lock us out,1,did,do,3,aux,NA,NA,displaced
994,1,I didnt really understand math until after I got out of school <cuz> because I started using it in the real world,2,did,do,5,aux,NA,SpaceAfter=No,displaced
552,1,um did they fill it anyway,2,did,do,4,aux,NA,NA,displaced
72,1,why did you toot at the table,2,did,do,4,aux,NA,NA,displaced
204,1,you did,2,did,do,0,root,NA,SpacesAfter=\n,displaced
261,1,I almost did get xxx up,3,did,do,4,aux,NA,NA,displaced
289,1,what did you see,2,did,do,4,aux,NA,NA,displaced
360,1,I didnt say anything,2,did,do,4,aux,NA,SpaceAfter=No,displaced
1532,2,didnt you,1,did,do,3,aux,NA,SpaceAfter=No,displaced
191,1,you did it,2,did,do,0,root,NA,NA,displaced
1690,1,what did the baby do,2,did,do,0,root,NA,NA,displaced
759,1,you did,2,did,do,0,root,NA,SpacesAfter=\n,displaced
591,1,all I did was grill them mm mm,3,did,do,5,aux,NA,NA,displaced
64,1,did you do good listening Cottie did you do good listening,1,did,do,3,aux,NA,NA,displaced
763,1,well what did you wear when you went outside,3,did,do,5,aux,NA,NA,displaced
519,1,did you see the fish,1,did,do,3,aux,NA,NA,displaced
87,1,I didnt realize xxx,2,did,do,4,aux,NA,SpaceAfter=No,displaced
12,1,did you give a warning shes being recorded,1,did,do,3,aux,NA,NA,displaced
940,1,did you say xxx,1,did,do,3,aux,NA,NA,displaced
1813,1,did you throw your milk,1,did,do,3,aux,NA,NA,displaced
363,1,why didnt you bring it,2,did,do,5,aux,NA,SpaceAfter=No,displaced
374,1,its done by Duke,2,done,do,0,root,NA,NA,displaced
543,1,dont,1,do,do,0,root,NA,SpaceAfter=No,displaced
55,1,dont do it,1,do,do,3,aux,NA,SpaceAfter=No,displaced
67,1,I dont know what channel it was though,2,do,do,4,aux,NA,SpaceAfter=No,displaced
2144,1,I dont want to watch,2,do,do,4,aux,NA,SpaceAfter=No,displaced
380,1,I dont know if he can like move it if him and his crew can move it or,2,do,do,4,aux,NA,SpaceAfter=No,displaced
16,1,you dont remember when this little do you,2,do,do,4,aux,NA,SpaceAfter=No,displaced
251,1,<do as Im doing> = sings,2,do,do,0,root,NA,NA,displaced
1108,1,why dont you take a bath so you have time to xxx before you gotta go to bed,2,do,do,5,aux,NA,SpaceAfter=No,displaced
36,1,its she doesnt mind it but if she can have mine shell take mine,3,does,do,5,aux,NA,SpaceAfter=No,displaced
612,1,I dont know what to do with Whitman though,2,do,do,4,aux,NA,SpaceAfter=No,displaced
112,1,do we ever see,1,do,do,4,aux,NA,NA,displaced
618,1,what do you think Whitman wants to play with down here,2,do,do,4,aux,NA,NA,displaced
49,1,do you want to xxx or Mommy xxx,1,do,do,3,aux,NA,NA,displaced
362,1,I dont want you to get sick,2,do,do,4,aux,NA,SpaceAfter=No,displaced
437,1,do you remember when you first sat up,1,do,do,3,aux,NA,NA,displaced
136,1,what do you wanna do again,2,do,do,4,aux,NA,NA,displaced
1529,1,why dont you build a snow den says MommyPenguin,2,do,do,5,aux,NA,SpaceAfter=No,displaced
1549,1,I dont want to xxx,2,do,do,4,aux,NA,SpaceAfter=No,displaced
398,1,why dont they xxx,2,do,do,4,aux,NA,SpaceAfter=No,displaced
1345,1,I dont have to unpack them,2,do,do,4,aux,NA,SpaceAfter=No,displaced
192,1,I dont think that I think Moms gonna work like a half day in the morning so any time in the afternoon will,2,do,do,4,aux,NA,SpaceAfter=No,displaced
769,1,alright well I dont have to leave for an hour,4,do,do,6,aux,NA,SpaceAfter=No,displaced
68,1,and why do you xxx yourself,3,do,do,5,aux,NA,NA,displaced
833,1,dont do it while Im there why you gotta do it like that,1,do,do,3,aux,NA,SpaceAfter=No,displaced
1863,1,I dont think it xxx a private xxx,2,do,do,4,aux,NA,SpaceAfter=No,displaced
625,1,do you wanna use xxx today,1,do,do,3,aux,NA,NA,displaced
1544,1,I dont think itll burn you any more,2,do,do,4,aux,NA,SpaceAfter=No,displaced
1077,1,but he doesnt have to be,3,does,do,5,aux,NA,SpaceAfter=No,displaced
196,1,then I dont,3,do,do,0,root,NA,SpaceAfter=No,present
322,1,I dont think so no <cuz>,2,do,do,4,aux,NA,SpaceAfter=No,present
227,1,I dont know where Cape,2,do,do,4,aux,NA,SpaceAfter=No,present
706,1,what do you think,2,do,do,4,aux,NA,NA,present
282,1,do you know what that is,1,do,do,3,aux,NA,NA,present
1176,1,Mama does Landen xxx,2,does,do,3,aux,NA,NA,present
1461,1,he doesnt like <anybody> = exclaims at all,2,does,do,4,aux,NA,SpaceAfter=No,present
714,1,okay Dad which color do you want,5,do,do,7,aux,NA,NA,present
535,1,do you want um,1,do,do,3,aux,NA,NA,present
412,1,how do I,2,do,do,0,root,NA,NA,present
37,1,<I dont know what to do I> = sings,3,do,do,5,aux,NA,SpaceAfter=No,present
865,1,I dont know what you want,2,do,do,4,aux,NA,SpaceAfter=No,present
598,1,and you dont like this to happen,3,do,do,5,aux,NA,SpaceAfter=No,present
2030,1,I dont like xxx,2,do,do,4,aux,NA,SpaceAfter=No,present
2142,1,dont say that,1,do,do,3,aux,NA,SpaceAfter=No,present
975,1,do you say thank you,1,do,do,3,aux,NA,NA,present
317,1,do you know xxx on the ground,1,do,do,3,aux,NA,NA,present
1113,1,and hell just do this for hours,4,do,do,0,root,NA,NA,present
1337,1,what do you want Polly,2,do,do,4,aux,NA,NA,present
19,1,<do as Im doing> = sings,2,do,do,0,root,NA,NA,present
113,1,they dont,2,do,do,3,aux,NA,SpaceAfter=No,present
2160,1,I dont like this,2,do,do,4,aux,NA,SpaceAfter=No,present
1186,1,dont want your beers xxx,1,do,do,3,aux,NA,SpaceAfter=No,present
587,1,dont try to hit me sissy,1,do,do,3,aux,NA,SpaceAfter=No,present
1243,1,Mommy does not buy enough fruit for you guys,2,does,do,4,aux,NA,NA,present
1910,1,so like it kind of like does that sound,7,does,do,9,aux,NA,NA,present
1448,1,oh youre done,3,done,do,0,root,NA,SpacesAfter=\n,present
273,1,how many siblings do you have on that side though,4,do,do,6,aux,NA,NA,present
502,1,do you want some freeze dried strawberries,1,do,do,3,aux,NA,NA,present
285,1,did you put the hat on your head,1,did,do,3,aux,NA,NA,present
724,1,did you go in your diaper,1,did,do,3,aux,NA,NA,present
249,1,hey dont get his face,2,do,do,4,aux,NA,SpaceAfter=No,present
212,1,I do not want to be splashed,2,do,do,4,aux,NA,NA,present
335,1,dont know how I feel about that Tess,1,do,do,3,aux,NA,SpaceAfter=No,present
99,1,dont bite Mama,1,do,do,3,aux,NA,SpaceAfter=No,present
1036,1,I dont think so,2,do,do,4,aux,NA,SpaceAfter=No,present
1414,1,you dont,2,do,do,0,root,NA,SpaceAfter=No,present
706,1,dont drink that milk,1,do,do,3,aux,NA,SpaceAfter=No,present
386,1,do you want some lunch,1,do,do,3,aux,NA,NA,present
275,1,<do as Im doing> = sings,2,do,do,0,root,NA,NA,present
28,1,you do reward yourself,2,do,do,3,aux,NA,NA,present
