"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc","temporality"
"20","TD_463_254",39,1,"lets go lets go lets go lets go okay","2","go","go","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"21","TD_448_304",225,1,"what was that","2","was","be","VERB","VBD","Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"22","VI_001_676",1242,1,"hey Im family","3","m","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","cop",NA,NA,"present"
"23","TD_448_304",249,1,"hey dont get his face","2","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","aux",NA,"SpaceAfter=No","present"
"24","VI_002_336",836,1,"alright were going to leave the wipes nope going to leave the wipes there we go","2","were","be","AUX","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","3","aux",NA,NA,"displaced"
"25","VI_033_820",1108,1,"I forgot to do that before we started","2","forgot","forget","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"26","TD_474_966",233,1,"what is that","2","is","be","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"27","TD_444_402",574,1,"I know <howda>","2","know","know","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","parataxis",NA,NA,"present"
"28","TD_436_678",2110,1,"=cries","2","cries","cry","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","present"
"29","VI_014_242",49,1,"Max is trying to fool us all isnt he Dad","2","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","3","aux",NA,NA,"present"
"30","VI_008_707",1245,1,"Im gonna play some keys","2","m","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","3","aux",NA,NA,"displaced"
"31","TD_445_217",1345,1,"I dont have to unpack them","2","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","aux",NA,"SpaceAfter=No","displaced"
"32","VI_015_195",425,1,"the second one said the xxx in the air","4","said","say","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"33","TD_477_217",534,1,"I want","2","want","want","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","present"
"34","TD_436_678",1532,2,"didnt you","1","did","do","AUX","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","3","aux",NA,"SpaceAfter=No","displaced"
"35","TD_448_304",68,1,"and why do you xxx yourself","3","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","5","aux",NA,NA,"present"
"36","VI_013_206",1450,1,"yeah you hear Nana and <Gaga> grandpa","3","hear","hear","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"37","TD_444_402",130,1,"youre coming","1","youre","your","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"38","TD_445_217",1083,1,"you know with the the","2","know","know","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"39","VI_002_336",99,1,"walked into an Italian","1","walked","walk","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"40","VI_003_405",532,1,"alright well go walking","3","go","go","VERB","VB","VerbForm=Inf","0","root",NA,NA,"uncategorized"
"41","VI_003_405",833,1,"dont do it while Im there why you gotta do it like that","1","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","3","aux",NA,"SpaceAfter=No","displaced"
"42","VI_012_562",612,1,"I dont know what to do with Whitman though","2","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","aux",NA,"SpaceAfter=No","present"
"43","TD_465_541",191,1,"you did it","2","did","do","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"44","TD_467_433",241,1,"yeah trust me in a little bit","2","trust","trust","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"45","TD_448_304",416,1,"do","1","do","do","VERB","VB","VerbForm=Inf","0","root",NA,"SpacesAfter=\n","uncategorized"
"46","TD_467_433",72,1,"why did you toot at the table","2","did","do","AUX","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","4","aux",NA,NA,"displaced"
"47","VI_015_195",264,1,"it looks great thank you","2","looks","look","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"48","VI_002_336",851,1,"it was like","2","was","be","AUX","VBD","Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin","3","cop",NA,NA,"displaced"
"49","VI_012_562",1095,1,"<they cant quite see it there> = whispers ready","3","cant","cant","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"50","VI_015_195",164,1,"my uncle Bill is like loves to tell stories","4","is","be","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"51","TD_449_716",107,1,"soon after dark upon the beach we sing our favorite oh sweetie","8","sing","se","VERB","VBG","VerbForm=Ger","0","root",NA,NA,"present"
"52","TD_463_254",658,1,"youve gotta learn","1","youve","youve","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"53","TD_447_448",580,1,"but in the middle of my half day off I had three lab visits","11","had","have","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"54","TD_463_254",45,1,"I want that","2","want","want","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"55","VI_047_440",330,1,"I love it","2","love","love","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"56","VI_012_562",277,1,"are you coming to find us Whitman","1","are","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","3","aux",NA,NA,"present"
"57","VI_012_562",1813,1,"he would want to get","2","would","would","AUX","MD","VerbForm=Fin","3","aux",NA,NA,"displaced"
"58","TD_443_341",994,1,"I didnt really understand math until after I got out of school <cuz> because I started using it in the real world","2","did","do","AUX","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","5","aux",NA,"SpaceAfter=No","displaced"
"59","VI_014_242",263,1,"there you are","3","are","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","1","cop",NA,"SpacesAfter=\n","present"
"60","TD_445_217",1243,1,"Mommy does not buy enough fruit for you guys","2","does","do","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","4","aux",NA,NA,"present"
"61","VI_012_562",852,1,"so we just had like another one on Saturday where he he uh","4","had","have","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"62","VI_015_195",199,1,"I found your hair","2","found","find","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"63","TD_465_541",258,1,"<the itsy bitsy spider went up the spout again> = sings","6","went","go","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"64","VI_012_562",339,1,"okay lets go","3","go","go","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","present"
"65","TD_473_844",408,2,"I love you sweetheart","2","love","love","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"66","VI_008_707",462,1,"I got his leg","2","got","get","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"67","VI_047_440",22,1,"here we go are you ready to see more animals","3","go","go","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","1","acl:relcl",NA,NA,"present"
"68","VI_033_820",162,1,"I know","2","know","know","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","present"
"69","VI_014_242",97,1,"yeah you want a little xxx","3","want","want","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"70","VI_012_562",651,1,"alright I Ill set an alarm for down here and then we gotta go back upstairs okay Henry","3","Ill","Ill","AUX","MD","VerbForm=Fin","4","aux",NA,NA,"displaced"
"71","TD_444_402",192,1,"I dont think that I think Moms gonna work like a half day in the morning so any time in the afternoon will","2","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","aux",NA,"SpaceAfter=No","displaced"
"72","VI_013_206",1649,1,"so are you planning on going to Laurenberg","2","are","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","aux",NA,NA,"displaced"
"73","VI_013_206",1468,1,"I go Wednesday","2","go","go","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"74","TD_444_402",141,1,"I think theyd be too big on her","2","think","think","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"75","TD_436_678",1669,1,"he took my ball","2","took","take","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"76","TD_477_217",697,1,"xxx baby wants to xxx","3","wants","want","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"77","TD_473_844",921,1,"that way youre not paying for the weight of the stalk that you","5","paying","pay","VERB","VBG","VerbForm=Ger","3","advcl",NA,NA,"present"
"78","TD_444_402",251,1,"yeah <cus> because she yeah <cus> because her mom is selling their","14","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","15","aux",NA,NA,"present"
"79","VI_008_707",1690,1,"what did the baby do","2","did","do","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"80","TD_445_217",1047,1,"your swimming season is so much shorter unless you have a way to get to it","4","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","7","cop",NA,NA,"present"
"81","TD_474_966",303,1,"there you go","3","go","go","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","present"
"82","VI_014_242",230,1,"it sometimes it is","4","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","present"
"83","VI_012_562",759,1,"you did","2","did","do","AUX","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","displaced"
"84","TD_436_678",1977,1,"<Janeys eyes out> = sings","2","Janeys","Janeys","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"85","VI_047_440",478,1,"yeah that feels nice","3","feels","feel","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"86","VI_033_820",1423,1,"you should always hurry by","2","should","should","AUX","MD","VerbForm=Fin","4","aux",NA,NA,"displaced"
"87","VI_012_562",861,1,"and he was doing that and the cabinet door um kind of closed abrubtly and um","3","was","be","AUX","VBD","Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin","4","aux",NA,NA,"displaced"
"88","VI_037_868",267,1,"those are the words","2","are","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","cop",NA,NA,"present"
"89","VI_005_263",97,1,"flip out your diaper","1","flip","flip","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"90","TD_477_217",93,1,"were actually going to the store right now","1","were","be","AUX","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","3","aux",NA,NA,"displaced"
"91","TD_473_844",543,1,"dont","1","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,"SpaceAfter=No","present"
"92","TD_436_678",1732,1,"Dad I want to see AlvinandtheChipmunks","3","want","want","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","1","acl:relcl",NA,NA,"displaced"
"93","VI_005_411",404,1,"<and I pray God to keep you from> = sings","4","pray","pray","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"94","VI_018_924",52,1,"<and RockyRaccoon checked into his room> = sings","4","checked","check","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"95","TD_445_217",2027,1,"yes I do","3","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","present"
"96","VI_047_440",710,1,"I will","2","will","will","AUX","MD","VerbForm=Fin","0","root",NA,"SpacesAfter=\n","displaced"
"97","TD_472_829",767,1,"go home","1","go","go","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"98","VI_005_411",960,1,"cluck said a chicken and a chick said peep","2","said","say","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"99","TD_447_448",339,1,"she might not understand you shes a little bit younger than you are","2","might","might","AUX","MD","VerbForm=Fin","4","aux",NA,NA,"displaced"
"100","VI_005_263",101,1,"lets change that bottom","2","change","change","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"101","TD_447_448",456,1,"so youre not so close","2","youre","your","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"102","TD_436_678",1302,1,"he loves that thing too","2","loves","love","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"103","VI_003_405",630,1,"do you have anywhere idea what pl al cl yl is","1","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","3","aux",NA,NA,"present"
"104","VI_012_562",1062,1,"like he knows its coming so","3","knows","know","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"105","TD_467_433",588,1,"thank you","1","thank","thank","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"106","VI_001_676",509,1,"Im making xxx","2","m","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","3","aux",NA,NA,"present"
"107","TD_436_678",415,1,"you need to stop taking these out","2","need","need","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"108","VI_001_676",1852,1,"xxx runs over me","2","runs","run","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"109","TD_447_448",734,1,"maybe we dont wanna play it just because shes here =laughs","3","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","5","aux",NA,"SpaceAfter=No","displaced"
"110","VI_005_411",789,1,"you want to have an after dinner treat","2","want","want","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"displaced"
"111","VI_008_707",1538,1,"feel LittlePenguins soft wings","1","feel","feel","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"112","VI_002_336",77,1,"been there its a straight shot","1","been","be","AUX","VBN","Tense=Past|VerbForm=Part","2","cop",NA,NA,"displaced"
"113","TD_445_217",597,1,"he slept better last night","2","slept","sleep","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"114","TD_467_433",174,1,"we gonna put this coffee pot back","2","gon","go","VERB","VBG","Abbr=Yes|Tense=Pres|VerbForm=Part","0","root",NA,"SpaceAfter=No","displaced"
"115","TD_447_448",407,1,"bananas I think an hour and a half","3","think","think","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","1","parataxis",NA,NA,"present"
"116","TD_474_966",55,1,"dont do it","1","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","3","aux",NA,"SpaceAfter=No","present"
"117","TD_463_254",616,1,"how come","2","come","come","VERB","VB","VerbForm=Inf","0","root",NA,"SpacesAfter=\n","uncategorized"
"118","VI_015_195",79,1,"theres my eyes","1","theres","there","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","3","cop",NA,NA,"present"
"119","VI_047_440",695,1,"one of the sea lions is named Rona","6","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","7","aux:pass",NA,NA,"present"
"120","TD_444_402",557,1,"um can we","2","can","can","AUX","MD","VerbForm=Fin","3","aux",NA,NA,"displaced"
"121","VI_007_204",158,1,"have what","1","have","have","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"122","VI_014_242",2,1,"the way the record is going","5","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","6","aux",NA,NA,"present"
"123","TD_436_678",2117,2,"Ill never go to the library","1","Ill","Ill","AUX","MD","VerbForm=Fin","3","aux",NA,NA,"displaced"
"124","VI_047_440",632,1,"you feel the wind","2","feel","feel","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"125","TD_448_304",116,1,"I do like her though shes uh shes an enigma","2","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","3","aux",NA,NA,"present"
"126","VI_008_707",1860,1,"hang on I will get back to you","1","hang","hang","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"127","VI_005_263",67,1,"I dont know what channel it was though","2","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","aux",NA,"SpaceAfter=No","present"
"128","TD_467_433",512,1,"yeah I kind of feel like that too","5","feel","feel","VERB","VB","VerbForm=Inf","0","root",NA,NA,"uncategorized"
"129","TD_467_433",386,1,"do you want some lunch","1","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","3","aux",NA,NA,"present"
"130","TD_436_678",2144,1,"I dont want to watch","2","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","aux",NA,"SpaceAfter=No","displaced"
"131","VI_007_204",117,1,"is like this tall and fat","1","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","4","cop",NA,NA,"present"
"132","VI_012_562",1503,1,"okay take my xxx off","2","take","take","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"133","VI_005_411",1116,1,"my little bunny lets wriggle and jiggle","4","lets","let","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"134","VI_007_204",1,1,"xxx is out there","2","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","4","cop",NA,NA,"present"
"135","VI_018_924",78,1,"because that that was just cicada killer and its not gonna hurt you","4","was","be","AUX","VBD","Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin","7","cop",NA,NA,"displaced"
"136","TD_467_433",148,1,"Im gonna get you","2","m","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","3","aux",NA,NA,"displaced"
"137","VI_003_405",682,1,"what is it","2","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","1","cop",NA,NA,"present"
"138","TD_443_341",1087,1,"if I cant xxx and that on the hanger","3","cant","cant","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"displaced"
"139","VI_008_707",800,1,"xxx and then Im going to quit","5","m","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","6","aux",NA,NA,"displaced"
"140","TD_464_188",539,1,"she farted","2","farted","far","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","displaced"
"141","VI_013_206",938,1,"I like yellow","2","like","like","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"142","TD_467_433",570,2,"Ill stay tomorrow","1","Ill","Ill","AUX","MD","VerbForm=Fin","2","aux",NA,NA,"displaced"
"143","VI_003_405",196,1,"then I dont","3","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,"SpaceAfter=No","present"
"144","TD_477_217",419,1,"we have to","2","have","have","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"displaced"
"145","TD_447_448",833,1,"what is she doing","2","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","4","aux",NA,NA,"present"
"146","VI_013_206",1111,1,"are those pants too small","1","are","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","5","cop",NA,NA,"present"
"147","TD_463_254",632,1,"spit up","1","spit","spit","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"148","TD_463_254",495,1,"they have cloth diapers theyve got lots of natural um teething stuff","2","have","have","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"149","VI_037_868",86,1,"thank you for telling me","1","thank","thank","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"150","VI_007_204",204,1,"you did","2","did","do","AUX","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","displaced"
"151","TD_465_541",489,1,"aw is some water getting in your eyes love","2","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","4","cop",NA,NA,"present"
"152","VI_001_676",1032,1,"thats right thats what you fill xxx","4","s","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","5","cop",NA,NA,"present"
"153","VI_008_707",1946,1,"I feel like xxx","2","feel","feel","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"154","VI_014_242",363,1,"why didnt you bring it","2","did","do","AUX","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","5","aux",NA,"SpaceAfter=No","displaced"
"155","VI_015_195",504,1,"well thats what I was just saying to her earlier","3","s","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","4","cop",NA,NA,"present"
"156","TD_473_844",973,1,"I dont know where its gone to visit xxx","2","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","aux",NA,"SpaceAfter=No","present"
"157","TD_464_188",330,2,"Im going to show you something","2","m","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","3","aux",NA,NA,"displaced"
"158","VI_047_440",490,1,"were gonna get some trouble right here","1","were","be","AUX","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","2","aux",NA,NA,"displaced"
"159","TD_477_217",191,1,"I need to","2","need","need","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"160","VI_015_195",293,1,"those are your toes xxx","2","are","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","cop",NA,NA,"present"
"161","TD_477_217",275,1,"<do as Im doing> = sings","2","do","do","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"162","TD_449_716",288,1,"well maybe it depends","4","depends","depend","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","present"
"163","TD_472_829",714,1,"fancy day xxx to be silly with this","5","be","be","AUX","VB","VerbForm=Inf","6","cop",NA,NA,"uncategorized"
"164","TD_463_254",152,1,"I twirled","2","twirled","twirl","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","displaced"
"165","TD_467_433",258,1,"hey hey hey what are you doing","5","are","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","7","aux",NA,NA,"present"
