"","doc_id","paragraph_id","sentence_id","sentence","temporality","manual_temporality","feats"
"71","TD_436_678",1669,1,"he took my ball","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"72","TD_477_217",697,1,"xxx baby wants to xxx","present","displaced","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"73","TD_473_844",921,1,"that way youre not paying for the weight of the stalk that you","present","displaced","VerbForm=Ger"
"74","TD_444_402",251,1,"yeah <cus> because she yeah <cus> because her mom is selling their","present","displaced","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"75","VI_008_707",1690,1,"what did the baby do","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"76","TD_445_217",1047,1,"your swimming season is so much shorter unless you have a way to get to it","present","displaced","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"77","TD_474_966",303,1,"there you go","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"78","VI_014_242",230,1,"it sometimes it is","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"79","VI_012_562",759,1,"you did","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"80","TD_436_678",1977,1,"<Janeys eyes out> = sings","present","uncategorized","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"81","VI_047_440",478,1,"yeah that feels nice","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"82","VI_033_820",1423,1,"you should always hurry by","displaced","displaced","VerbForm=Fin"
"83","VI_012_562",861,1,"and he was doing that and the cabinet door um kind of closed abrubtly and um","displaced","displaced","Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin"
"84","VI_037_868",267,1,"those are the words","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"85","TD_477_217",93,1,"were actually going to the store right now","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"86","TD_473_844",543,1,"dont","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"87","TD_436_678",1732,1,"Dad I want to see AlvinandtheChipmunks","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"88","VI_005_411",404,1,"<and I pray God to keep you from> = sings","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"89","VI_018_924",52,1,"<and RockyRaccoon checked into his room> = sings","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"90","TD_445_217",2027,1,"yes I do","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"91","VI_047_440",710,1,"I will","displaced","displaced","VerbForm=Fin"
"92","VI_005_411",960,1,"cluck said a chicken and a chick said peep","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"93","TD_447_448",339,1,"she might not understand you shes a little bit younger than you are","displaced","displaced","VerbForm=Fin"
"94","VI_005_263",101,1,"lets change that bottom","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"95","TD_436_678",1302,1,"he loves that thing too","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"96","VI_003_405",630,1,"do you have anywhere idea what pl al cl yl is","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"97","VI_012_562",1062,1,"like he knows its coming so","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"98","TD_467_433",588,1,"thank you","present","uncategorized","Mood=Ind|Tense=Pres|VerbForm=Fin"
"99","VI_001_676",509,1,"Im making xxx","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"100","TD_436_678",415,1,"you need to stop taking these out","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"101","VI_001_676",1852,1,"xxx runs over me","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"102","TD_447_448",734,1,"maybe we dont wanna play it just because shes here =laughs","displaced","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"103","VI_005_411",789,1,"you want to have an after dinner treat","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"104","VI_002_336",77,1,"been there its a straight shot","displaced","displaced","Tense=Past|VerbForm=Part"
"105","TD_445_217",597,1,"he slept better last night","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"106","TD_467_433",174,1,"we gonna put this coffee pot back","displaced","displaced","Abbr=Yes|Tense=Pres|VerbForm=Part"
"107","TD_447_448",407,1,"bananas I think an hour and a half","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"108","TD_474_966",55,1,"dont do it","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"109","TD_463_254",616,1,"how come","uncategorized","uncategorized","VerbForm=Inf"
"110","VI_015_195",79,1,"theres my eyes","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"111","VI_047_440",695,1,"one of the sea lions is named Rona","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"112","TD_444_402",557,1,"um can we","displaced","present","VerbForm=Fin"
"113","VI_007_204",158,1,"have what","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"114","VI_014_242",2,1,"the way the record is going","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"115","TD_436_678",2117,2,"Ill never go to the library","displaced","displaced","VerbForm=Fin"
"116","VI_047_440",632,1,"you feel the wind","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"117","TD_448_304",116,1,"I do like her though shes uh shes an enigma","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"118","VI_005_263",67,1,"I dont know what channel it was though","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"119","TD_467_433",512,1,"yeah I kind of feel like that too","uncategorized","present","VerbForm=Inf"
"120","TD_467_433",386,1,"do you want some lunch","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"121","TD_436_678",2144,1,"I dont want to watch","displaced","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"122","VI_007_204",117,1,"is like this tall and fat","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"123","VI_005_411",1116,1,"my little bunny lets wriggle and jiggle","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"124","VI_007_204",1,1,"xxx is out there","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"125","VI_018_924",78,1,"because that that was just cicada killer and its not gonna hurt you","displaced","displaced","Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin"
"126","TD_467_433",148,1,"Im gonna get you","displaced","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"127","VI_003_405",682,1,"what is it","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"128","TD_443_341",1087,1,"if I cant xxx and that on the hanger","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"129","VI_008_707",800,1,"xxx and then Im going to quit","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"130","TD_464_188",539,1,"she farted","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"131","VI_013_206",938,1,"I like yellow","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"132","TD_467_433",570,2,"Ill stay tomorrow","displaced","displaced","VerbForm=Fin"
"133","VI_003_405",196,1,"then I dont","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"134","TD_477_217",419,1,"we have to","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"135","TD_447_448",833,1,"what is she doing","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"136","VI_013_206",1111,1,"are those pants too small","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"137","TD_463_254",495,1,"they have cloth diapers theyve got lots of natural um teething stuff","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"138","VI_037_868",86,1,"thank you for telling me","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"139","VI_007_204",204,1,"you did","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"140","TD_465_541",489,1,"aw is some water getting in your eyes love","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"141","VI_001_676",1032,1,"thats right thats what you fill xxx","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"142","VI_008_707",1946,1,"I feel like xxx","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"143","VI_014_242",363,1,"why didnt you bring it","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"144","VI_015_195",504,1,"well thats what I was just saying to her earlier","present","displaced","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"145","TD_473_844",973,1,"I dont know where its gone to visit xxx","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"146","TD_464_188",330,2,"Im going to show you something","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"147","VI_047_440",490,1,"were gonna get some trouble right here","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"148","TD_477_217",191,1,"I need to","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"149","VI_015_195",293,1,"those are your toes xxx","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"150","TD_477_217",275,1,"<do as Im doing> = sings","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"151","TD_449_716",288,1,"well maybe it depends","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"152","TD_472_829",714,1,"fancy day xxx to be silly with this","uncategorized","present","VerbForm=Inf"
"153","TD_463_254",152,1,"I twirled","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"154","TD_467_433",258,1,"hey hey hey what are you doing","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"155","VI_033_820",367,1,"he had","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"156","TD_444_402",28,1,"you do reward yourself","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"157","TD_449_716",144,1,"<twing twing> = imitatesguitar","present","uncategorized","VerbForm=Ger"
"158","VI_012_562",615,1,"where we gonna put him","displaced","displaced","Abbr=Yes|Tense=Pres|VerbForm=Part"
"159","VI_012_562",1692,1,"oh my goodness what a great wave that was","displaced","present","Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin"
"160","VI_005_411",1074,1,"can I have a kiss","displaced","displaced","VerbForm=Fin"
"161","VI_018_924",33,1,"thank you","present","uncategorized","Mood=Ind|Tense=Pres|VerbForm=Fin"
"162","TD_448_304",37,1,"hes like I can see it Granny Ive seen it","displaced","present","VerbForm=Fin"
"163","VI_033_820",448,1,"hes got little bumps","displaced","present","Mood=Ind|Tense=Past|VerbForm=Fin"
"164","TD_477_217",125,1,"you want your ball","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"165","VI_047_440",189,1,"I hear a shaker","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"166","TD_474_966",129,1,"<and I pick it back up> = sings","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"167","VI_001_676",288,1,"we were by everything outside","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"168","VI_005_411",464,1,"can you see the moon","displaced","present","VerbForm=Fin"
"169","VI_001_676",294,1,"xxx can be xxx","displaced","uncategorized","VerbForm=Fin"
"170","TD_436_678",1490,1,"you got spaghetti face you know that","displaced","present","Mood=Ind|Tense=Past|VerbForm=Fin"
"171","VI_008_707",1809,1,"and then he comes back in and goes xxx","present","displaced","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"172","TD_465_541",179,1,"the word wait is not in his vocabulary anymore","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"173","TD_467_433",335,1,"hows that yeah","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"174","TD_444_402",484,1,"oh to do the work","uncategorized","uncategorized","VerbForm=Inf"
"175","TD_436_678",628,1,"trash can","displaced","uncategorized","VerbForm=Fin"
"176","VI_012_562",945,2,"Ty said hell take it","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"177","VI_008_707",639,1,"to look at him hes really full xxx","uncategorized","present","VerbForm=Inf"
"178","VI_001_676",731,1,"xxx getting xxx =laughs","present","uncategorized","VerbForm=Ger"
"179","VI_005_411",443,1,"<of my world is in Miles> = sings","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"180","VI_003_405",1269,1,"you didnt see her at school","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"181","VI_012_562",586,1,"we can try","displaced","present","VerbForm=Fin"
"182","VI_033_820",1615,1,"its going to be right here waiting for you right after the nap well put the vest right back on","displaced","displaced","Tense=Pres|VerbForm=Part"
"183","VI_015_195",303,1,"they just just avoiding the whole situation","present","present","VerbForm=Ger"
"184","TD_474_966",400,1,"oh wow theres a lot to look at here","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"185","TD_463_254",783,1,"xxx they also have a lot of baby care","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"186","VI_012_562",494,1,"because Brian had a bunch of stuff xxx","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"187","TD_472_829",663,1,"<how they run> = sings","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"188","TD_436_678",733,1,"we need to be leaving","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"189","TD_477_217",732,1,"and ye shall find","displaced","displaced","VerbForm=Fin"
"190","VI_012_562",624,1,"=groans okay baby","present",NA,"Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"191","TD_445_217",695,2,"referring to Zachary","present","present","VerbForm=Ger"
"192","VI_001_676",1179,1,"we seen it walking around","displaced","displaced","Tense=Past|VerbForm=Part"
"193","TD_474_966",404,1,"not one friend will be missed","displaced","displaced","VerbForm=Fin"
"194","TD_436_678",490,1,"<wa> = imitatescrying","present","uncategorized","VerbForm=Ger"
"195","TD_445_217",755,1,"you go in there Danny honey","present","uncategorized","Mood=Ind|Tense=Pres|VerbForm=Fin"
"196","VI_003_405",739,1,"where you going eh eh eh eh eh eh","present","present","VerbForm=Ger"
"197","TD_445_217",380,1,"I dont know if he can like move it if him and his crew can move it or","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"198","VI_005_411",882,1,"seaturtles have flippers to help them swim","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"199","VI_037_868",237,1,"the frosting is spread","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"200","TD_463_254",185,1,"are you making a big mess","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"201","VI_033_820",196,1,"somehow I ended up on the death notice email list for local three ninety nine","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"202","TD_473_844",300,1,"that might work that youre xxx very quickly","displaced","displaced","VerbForm=Fin"
"203","TD_463_254",319,1,"wanna go xxx something kind","displaced","displaced","Abbr=Yes|Mood=Ind|Tense=Pres|VerbForm=Fin"
"204","TD_436_678",475,1,"start","uncategorized","uncategorized","VerbForm=Inf"
"205","TD_449_716",365,1,"if theyre having juice Im having juice","displaced","displaced","VerbForm=Ger"
"206","TD_464_188",581,1,"it was","displaced","displaced","Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin"
"207","VI_033_820",952,1,"you seem upset","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"208","TD_464_188",387,1,"I like that cookie","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"209","TD_444_402",4,1,"xxx you can go down","displaced","displaced","VerbForm=Fin"
"210","VI_015_195",374,1,"its done by Duke","displaced","displaced","Tense=Past|VerbForm=Part"
"211","TD_473_844",407,1,"can Daddy have a kiss my love","displaced","present","VerbForm=Fin"
"212","TD_473_844",1011,1,"lets see were gonna jump","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"213","TD_449_716",315,1,"and they played in the xxx","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"214","VI_001_676",1760,1,"can I have some coffee","displaced","displaced","VerbForm=Fin"
"215","VI_047_440",655,1,"this is Otto","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"216","VI_005_411",227,1,"he said nothing can go faster than the speed of light","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"217","VI_015_195",7,1,"because he has her putting a teaspoon every two ounces and they only eat forty to sixty milliliters right now","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"218","VI_004_415",112,1,"do we ever see","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"219","TD_436_678",1544,1,"I dont think itll burn you any more","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"220","VI_037_868",171,2,"Im no expert but","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"221","TD_463_254",489,1,"ll ul","displaced","uncategorized","VerbForm=Fin"
"222","TD_436_678",2171,1,"<ra> = imitatescrying","present","uncategorized","VerbForm=Ger"
"223","TD_445_217",2305,1,"and UncleRobert could take me camp","displaced","displaced","VerbForm=Fin"
"224","VI_008_707",1011,1,"=gasps happy Halloween","present",NA,"Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"225","VI_003_405",422,1,"I ate that xxx white","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"226","TD_464_188",564,1,"no it tastes like poop","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"227","VI_014_242",193,1,"hes just asleep","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"228","TD_465_541",343,1,"<were getting our xxx were following so long for now from Mickey Mouse> = sings","displaced","present","Mood=Ind|Tense=Past|VerbForm=Fin"
"229","VI_033_820",1903,1,"we got a couple more hot days well keep the summer stuff out but","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"230","TD_447_448",369,1,"you know I can put <em>","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"231","TD_473_844",1128,1,"I bet they have xxx to go with it","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"232","VI_005_263",710,1,"oh yeah theres poop in this diaper","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"233","VI_015_195",326,1,"our one music toy always stays on our lap","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"234","VI_033_820",514,1,"just want hugs","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"235","VI_001_676",199,1,"xxx how we controlled it","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"236","VI_005_411",95,1,"did he love them","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"237","VI_047_440",535,1,"do you want um","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"238","TD_464_188",500,1,"I got it","displaced","present","Mood=Ind|Tense=Past|VerbForm=Fin"
